Designator,Mid X,Mid Y,Rotation,Layer
C1,125.705,-107.475,90.0,top
C12,174.4,-66.05,90.0,bottom
C13,187.85,-115.4,90.0,bottom
C14,176.825,-116.55,270.0,bottom
C15,177.3,-66.175,270.0,bottom
C2,125.73,-103.1,90.0,top
C3,129.18,-103.2,180.0,top
C4,128.005,-107.495,270.0,top
C5,130.33,-107.505,270.0,top
C6,144.58,-107.675,270.0,top
C7,107.25,-130.5,180.0,top
C8,111.9,-111.4,180.0,top
C9,111.0,-119.5,90.0,bottom
D4,108.925,-68.25,90.0,top
IC1,140.217,-107.525,0.0,top
IC10,182.095,-65.712,90.0,bottom
IC9,183.375,-115.8,270.0,bottom
J1,106.85,-52.1,180.0,top
J2,145.315,-90.225,90.0,top
J3,104.8512,-92.6592,90.0,top
J4,182.626,-92.0,90.0,top
J5,184.125,-126.0,0.0,top
J6,183.55,-53.225,180.0,top
L1,134.405,-107.525,0.0,top
Q1,105.1,-68.2,0.0,top
Q3,117.815,-89.63,90.0,top
R1,146.93,-107.675,90.0,top
R10,179.05,-116.05,90.0,bottom
R11,186.0,-66.0,270.0,bottom
R2,149.805,-107.8,90.0,top
R3,140.08,-104.775,180.0,top
R4,138.55,-102.45,0.0,top
R6,130.925,-84.075,180.0,top
U1,106.715,-60.825,90.0,top
